modelo,config,query_id,P@10,R@10,AP,NDCG@10
vetorial,stopwords,63,0.0,0.0,0.0075864032481679534,0.0
vetorial,stopwords,64,0.1,0.5,0.5909090909090909,0.6787956981029196
vetorial,stopwords,65,0.5,0.3333333333333333,0.3141008765177503,0.527392470300786
vetorial,stopwords,66,0.2,0.4,0.17036497984773846,0.34121591778717186
vetorial,stopwords,67,0.6,0.42857142857142855,0.5903377317893913,0.6684895233998203
vetorial,stopwords,68,0.2,0.4,0.08920114493884986,0.23228635400621572
vetorial,stopwords,69,0.0,0.0,0.024029920625237705,0.0
vetorial,stopwords,70,0.0,0.0,0.05317695091618148,0.0
vetorial,stopwords,71,0.0,0.0,0.034885226327151034,0.0
vetorial,stopwords,72,0.0,0.0,0.03541832287993224,0.0
vetorial,stopwords,73,0.5,0.25,0.29980939897509973,0.5546984304378273
vetorial,stopwords,74,0.0,0.0,0.06296799024730058,0.0
vetorial,stopwords,75,0.1,0.2,0.13723559831072785,0.18295990522760897
vetorial,stopwords,76,0.1,0.14285714285714285,0.10927572074763371,0.14167166961578478
vetorial,stopwords,77,0.3,0.5,0.428994338994339,0.369030081781707
vetorial,stopwords,78,0.3,1.0,0.5888888888888889,0.6504198609257138
vetorial,stopwords,79,0.1,0.2,0.07484081181618245,0.18809346402717644
vetorial,stopwords,80,0.0,0.0,0.021086536649707933,0.0
vetorial,stopwords,81,0.1,0.5,0.1380952380952381,0.2879191445961887
vetorial,stopwords,82,0.3,0.6,0.5003174603174603,0.6499585627060159
vetorial,stopwords,83,0.1,0.25,0.06987073958904945,0.15101961822780524
vetorial,stopwords,84,0.1,0.09090909090909091,0.09674494424906353,0.05944537412437326
vetorial,stopwords,85,0.1,0.25,0.0965315248594624,0.1289633271351919
vetorial,stopwords,86,0.2,1.0,0.5833333333333333,0.6934264036172708
vetorial,stopwords,87,0.0,0.0,0.00782149470770363,0.0
vetorial,stopwords,88,0.4,0.6666666666666666,0.6368149824032177,0.5626824016362891
vetorial,stopwords,89,0.1,0.16666666666666666,0.1628194510494073,0.21226838189890232
vetorial,stopwords,90,0.3,0.23076923076923078,0.21767173444254542,0.18174089820730674
vetorial,stopwords,91,0.1,0.1111111111111111,0.15560328951711824,0.14058943861238676
vetorial,stopwords,92,0.7,0.5384615384615384,0.5099682252375083,0.42260490317174926
vetorial,stopwords,93,0.1,1.0,0.5,0.6309297535714575
vetorial,stopwords,94,0.5,0.4166666666666667,0.5069741995581761,0.5068569396487612
vetorial,stopwords,95,0.1,0.5,0.1388888888888889,0.0650042241370259
vetorial,stopwords,96,0.5,0.38461538461538464,0.34431566846228906,0.3343450788159565
vetorial,stopwords,97,0.2,0.2,0.1498707853031262,0.2917356965616352
vetorial,stopwords,98,0.0,0.0,0.010285378780323947,0.0
vetorial,stopwords,99,0.2,0.5,0.244047619047619,0.3857193836860053
vetorial,stopwords,100,0.3,0.3333333333333333,0.18074981656852998,0.27853225198241066
vetorial,stopwords,101,0.5,0.8333333333333334,0.5188492063492064,0.6279626644818542
vetorial,stopwords,102,0.2,0.5,0.3625,0.44539833841715704
vetorial,stopwords,103,0.0,0.0,0.045454545454545456,0.0
vetorial,stopwords,104,0.3,0.6,0.21359395109395107,0.3689770476651123
vetorial,stopwords,105,0.2,0.4,0.3822316260518507,0.6331583852663827
vetorial,stopwords,106,0.1,0.2,0.1154780891622997,0.09903297912989853
vetorial,stopwords,107,0.2,0.2857142857142857,0.3567568038667783,0.36942418371686553
vetorial,stopwords,108,0.6,0.8571428571428571,0.8983516483516484,0.8064241338285597
vetorial,stopwords,109,0.0,0.0,0.01939443535188216,0.0
vetorial,stopwords,110,0.0,0.0,0.0165448510345518,0.0
